revision;ssmergeConfs;linedbasedConfs;ssmergeLOC;linebasedLOC;ssmergeFiles;linebasedFiles;semanticConfs;jdimeConfs;jdimeLOC;jdimeFiles;equalConfs
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_d5001a2_4182840/rev_d5001a2-4182840.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_ac79194_63567cc/rev_ac79194-63567cc.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_7748351_b41a58e/rev_7748351-b41a58e.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_39fdfb4_fc1b948/rev_39fdfb4-fc1b948.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_2468410_4b9c564/rev_2468410-4b9c564.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_cac766a_79cbfeb/rev_cac766a-79cbfeb.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_b90c687_f8b38c7/rev_b90c687-f8b38c7.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_c2e4240_f8b38c7/rev_c2e4240-f8b38c7.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_faed89a_38e6cd6/rev_faed89a-38e6cd6.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_11cea0f_da7d37b/rev_11cea0f-da7d37b.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_da7d37b_f93829e/rev_da7d37b-f93829e.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_8600874_e89d8fb/rev_8600874-e89d8fb.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_8b46d57_3ff1ce9/rev_8b46d57-3ff1ce9.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_beea048_8c4d4b2/rev_beea048-8c4d4b2.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_1724dec_2e9dd2f/rev_1724dec-2e9dd2f.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_ddbabf2_96bfcf0/rev_ddbabf2-96bfcf0.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_76d28c6_9e1c385/rev_76d28c6-9e1c385.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_4c2a79b_9e1c385/rev_4c2a79b-9e1c385.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_9f3b248_709aa1a/rev_9f3b248-709aa1a.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_6000719_277d6bc/rev_6000719-277d6bc.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_6e8d353_5022126/rev_6e8d353-5022126.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_8b58939_be9572e/rev_8b58939-be9572e.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_038d099_5a587a1/rev_038d099-5a587a1.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_22ad436_496ddd1/rev_22ad436-496ddd1.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_d45206e_8d23d3a/rev_d45206e-8d23d3a.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_827d6df_1c857de/rev_827d6df-1c857de.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_8de6855_46bf291/rev_8de6855-46bf291.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_fbf42c3_16732fb/rev_fbf42c3-16732fb.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_8bc0364_08231bd/rev_8bc0364-08231bd.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_ff28c7c_d77456f/rev_ff28c7c-d77456f.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_3d3667e_6d151eb/rev_3d3667e-6d151eb.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_3d3667e_a93a5a4/rev_3d3667e-a93a5a4.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_110eb73_9d9560b/rev_110eb73-9d9560b.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_6197881_95064b1/rev_6197881-95064b1.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_70e658f_21d4ffe/rev_70e658f-21d4ffe.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_3889053_04d9830/rev_3889053-04d9830.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_8b284ad_70b52e0/rev_8b284ad-70b52e0.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_5d7c50d_0fb6b40/rev_5d7c50d-0fb6b40.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_5d7c50d_6b6ce8e/rev_5d7c50d-6b6ce8e.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_eaca2aa_a015602/rev_eaca2aa-a015602.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_1467fb5_353d13d/rev_1467fb5-353d13d.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_02dc4e1_cbcc295/rev_02dc4e1-cbcc295.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_3d4f995_0fe0215/rev_3d4f995-0fe0215.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_d086bd1_fe95038/rev_d086bd1-fe95038.revisions;0;0;0;0;0;0;0;0;0;0;0
