revision;newArtefactsReferencingEditedOnes
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_fcf330e_498c25f/rev_fcf330e-498c25f.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_fdaf789_832eb53/rev_fdaf789-832eb53.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_017751b_9de5614/rev_017751b-9de5614.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_b3230b2_d0e42e3/rev_b3230b2-d0e42e3.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a4db0ed_28c6989/rev_a4db0ed-28c6989.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_d7994a5_b0585da/rev_d7994a5-b0585da.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_c1c585c_d3a87c9/rev_c1c585c-d3a87c9.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_bd21a6f_b0585da/rev_bd21a6f-b0585da.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_bd21a6f_202b1f9/rev_bd21a6f-202b1f9.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_b3e950a_dc538f4/rev_b3e950a-dc538f4.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_4727485_42d73d3/rev_4727485-42d73d3.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_e0c7d10_75d7018/rev_e0c7d10-75d7018.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_75d7018_77b6885/rev_75d7018-77b6885.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_4897114_086a7b1/rev_4897114-086a7b1.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_f423bd4_7133f68/rev_f423bd4-7133f68.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_f423bd4_3a3edf6/rev_f423bd4-3a3edf6.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_86ba824_494afb6/rev_86ba824-494afb6.revisions;0
